Popularity,Vote_Count,Vote_Average,year,month,day_of_week,Original_Language_de,Original_Language_en,Original_Language_es,Original_Language_fr,Original_Language_it,Original_Language_ja,Original_Language_ko,Original_Language_other,Original_Language_ru,Original_Language_zh,other_genre,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War
577.591,42,6.7,2022,2,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
567.421,1785,7.6,2021,7,3,False,True,False,False,False,False,False,False,False,False,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
564.507,8,8.6,2022,3,3,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
553.141,211,4.8,2022,1,3,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
551.65,432,7.1,2022,1,4,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
533.903,88,5.1,2022,2,3,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
509.277,1000,8.1,2021,10,4,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
447.872,5158,7.7,2021,8,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
429.613,6675,8.2,2021,5,2,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
424.983,5689,7.7,2021,7,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
418.589,251,6.6,2021,11,4,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
409.688,27,6.3,2022,1,0,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
408.749,5886,8.0,2021,6,3,False,True,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
402.273,4447,7.2,2021,4,2,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
398.461,7414,8.3,2021,3,3,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
398.12,422,5.8,2021,12,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
396.948,88,5.5,1986,11,1,False,False,False,True,False,False,False,False,False,False,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
394.295,6237,7.9,2021,9,2,False,True,False,False,False,False,False,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
391.957,89,7.1,2021,1,4,False,False,False,False,False,False,False,False,True,False,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
387.924,104,5.1,2022,2,2,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
387.159,37,6.4,2021,6,4,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
